Tên món,Nguyên liệu,Công thức,Tiểu đường,Huyết áp cao,Dạ dày,Gout,Time,Calo 
Tôm sốt bơ tỏi,"tôm, tỏi, bơ ",https://cookpad.com/vn/cong-thuc/24141532-tom-s%E1%BB%91t-b%C6%A1-t%E1%BB%8Fi?ref=search&search_term=t%C3%B4m,0,0,0,1,7 phút,400
Tôm hấp miến,"tôm, miến, hành, tỏi, ớt",https://cookpad.com/vn/cong-thuc/24154065-tom-h%E1%BA%A5p-mi%E1%BA%BFn?ref=search&search_term=t%C3%B4m,0,0,1,1,30 phút,200
Tôm chiên xù,"tôm, trứng, bột chiên xù",https://cookpad.com/vn/cong-thuc/22674704-tom-chien-xu?ref=search&search_term=t%C3%B4m,0,1,0,1,30 phút,450
Tôm sốt trứng muối,"tôm, trứng, dầu hào, gia vị",https://cookpad.com/vn/cong-thuc/23844660-tom-s%E1%BB%91t-tr%E1%BB%A9ng-mu%E1%BB%91i?ref=search&search_term=t%C3%B4m,0,0,0,1,25 phút,400
Pasta tôm bơ tỏi,"tôm, tỏi, dầu hào",https://cookpad.com/vn/cong-thuc/22661061-pasta-tom-b%C6%A1-t%E1%BB%8Fi?ref=search&search_term=t%C3%B4m,0,0,0,1,25 phút,450
Bánh tôm,"tôm, khoai, tỏi, ớt, mắm, cà rốt, bột mì",https://cookpad.com/vn/cong-thuc/22599145-banh-tom?ref=search&search_term=t%C3%B4m,0,1,0,1,30 phút ,350
Tôm luộc,tôm,,0,0,0,1,10 phút,90
Tôm hấp bia,"tôm, hành, ớt",https://cookpad.com/vn/cong-thuc/17308983-tom-h%E1%BA%A5p-bia?ref=search&search_term=t%C3%B4m,0,0,0,1,15 phút ,120
Cua rang me ,"cua, me, hành, bột năng",https://cookpad.com/vn/cong-thuc/22576323-cua-rang-me?ref=search&search_term=cua,0,0,0,1,1 tiếng,250
Cua rang ,"cua, hạt nêm",https://cookpad.com/vn/cong-thuc/17145243-cua-rang?ref=search&search_term=cua,0,0,0,1,20 phút,210
Cua sốt ớt,"cua, trứng, ớt, hành, gừng, gia vị, tỏi",https://cookpad.com/vn/cong-thuc/15655309-cua-s%E1%BB%91t-%E1%BB%9Bt?ref=search&search_term=cua,0,0,1,1,30 phút,260
Cua luộc,cua,https://cookpad.com/vn/cong-thuc/15263514-cua-lu%E1%BB%99c?ref=search&search_term=cua,0,0,0,1,20 phút,90
Cua hấp bia,cua,https://cookpad.com/vn/cong-thuc/17300834-cua-bi%E1%BB%83n-h%E1%BA%A5p-bia?ref=search&search_term=cua,0,0,0,1,30 phút,120
Canh cua mồng tơi,"cua, rau mồng tơi",https://cookpad.com/vn/cong-thuc/13675480-canh-cua-m%E1%BB%93ng-t%C6%A1i?ref=search&search_term=cua,0,0,0,1,25 phút,60
Cua sốt ớt singapore,"cua, cà chua, ớt, tỏi , gừng, hành, trứng, gia vị",https://cookpad.com/vn/cong-thuc/13176403-cua-s%E1%BB%91t-%E1%BB%9Bt-singapore-chilli-crab?ref=search&search_term=cua,0,0,0,1,1 tiếng,300
Thịt lợn áp chảo,"lợn, dầu hào, gia vị, gừng, hành, tỏi",https://cookpad.com/vn/cong-thuc/17020194-th%E1%BB%8Bt-l%E1%BB%A3n-ap-ch%E1%BA%A3o?ref=search&search_term=l%E1%BB%A3n,0,1,0,0,1 tiếng,300
Măng chua xào thịt lợn,"lợn, tỏi, hạt nêm, măng chua",https://cookpad.com/vn/cong-thuc/22669735-mang-chua-xao-th%E1%BB%8Bt-lợnl%E1%BB%A3n?ref=search&search_term=l%E1%BB%A3n,0,0,0,0,20 phút,180
Thịt Lợn Rang Sả Ớt,"lợn, tỏi, ớt, sả, tương ớt",https://cookpad.com/vn/cong-thuc/16827456-th%E1%BB%8Bt-l%E1%BB%A3n-rang-s%E1%BA%A3-%E1%BB%9Bt?ref=search&search_term=l%E1%BB%A3n,0,0,1,0,35 phút,250
Thịt lợn sữa nướng cháy cạnh ,"lợn, xà lách, dầu hào, hạt nêm",https://cookpad.com/vn/cong-thuc/16822389-th%E1%BB%8Bt-l%E1%BB%A3n-s%E1%BB%AFa-n%C6%B0%E1%BB%9Bng-chay-c%E1%BA%A1nh-nckd?ref=search&search_term=l%E1%BB%A3n,0,0,0,0,1 tiếng,320
Thịt lợn chiên giòn,"lợn, bột chiên xù, dầu hào",https://cookpad.com/vn/cong-thuc/15430635-th%E1%BB%8Bt-l%E1%BB%A3n-chien-gion?ref=search&search_term=l%E1%BB%A3n,0,0,0,0,30 phút,350
"Thịt lợn xay chiên xù","lợn, tỏi, hành, gia vị, trứng, bột chiên xù",https://cookpad.com/vn/cong-thuc/15419662-th%E1%BB%8Bt-l%E1%BB%A3n-xay-chien-xu?ref=search&search_term=l%E1%BB%A3n,0,0,0,0,1 tiếng,350
"Thịt lợn áp chảo","lợn, gừng, tỏi, gia vị",https://cookpad.com/vn/cong-thuc/15241329-th%E1%BB%8Bt-l%E1%BB%A3n-ap-ch%E1%BA%A3o?ref=search&search_term=l%E1%BB%A3n,0,0,0,0,1 tiếng,300
Thịt lợn rang lá chanh,"lợn, tỏi, gừng, ớt, đường, mắm, hạt nêm",https://cookpad.com/vn/cong-thuc/14043621-th%E1%BB%8Bt-l%E1%BB%A3n-rang-la-chanh?ref=search&search_term=l%E1%BB%A3n,0,0,0,0,30 phút,240
Thịt lợn chua ngọt,"lợn, bột năng, trứng, hành, tỏi, dầu hào, nước tương",https://cookpad.com/vn/cong-thuc/13373738-th%E1%BB%8Bt-l%E1%BB%A3n-chua-ng%E1%BB%8Dt?ref=search&search_term=l%E1%BB%A3n,0,1,0,0,1 tiếng,300
"Thịt lợn kho trứng cút","lợn, hành, tỏi, hạt nêm, trứng ",https://cookpad.com/vn/cong-thuc/13115295-th%E1%BB%8Bt-l%E1%BB%A3n-kho-tr%E1%BB%A9ng-cut?ref=search&search_term=l%E1%BB%A3n,0,0,0,0,1 tiếng,320
"Thịt lợn rang nấm đùi gà","lợn, nấm đùi gà, hành, mắm",https://cookpad.com/vn/cong-thuc/14208166-th%E1%BB%8Bt-l%E1%BB%A3n-rang-n%E1%BA%A5m-dui-ga?ref=search&search_term=l%E1%BB%A3n,0,0,0,0,15 phút,260
"Thịt lợn xào lá móc mật","lợn, hành, gia vị, lá móc mật",https://cookpad.com/vn/cong-thuc/13358712-th%E1%BB%8Bt-l%E1%BB%A3n-xao-la-moc-m%E1%BA%ADt?ref=search&search_term=l%E1%BB%A3n,0,0,0,0,25 phút,250
